date,business_type,process,customers_or_cases,waiting_minutes,staff_hours,sales_aed,operating_cost_aed,delayed_cases,customer_complaints,repeat_customers,missed_follow_ups,status
2025-01-03 10:15:33.911303767,Restaurant,Follow-up,10,26.7,2.59,549.21,151.59,0,1,8,2,Completed
2025-01-03 13:10:20.606868956,Logistics,Delivery,4,59.4,3.29,363.09,185.07,1,2,3,2,Delayed
2025-01-03 16:05:07.302434144,Service Business,Complaint handling,7,45.2,2.04,493.09,103.1,0,1,5,2,Completed
2025-01-03 18:59:53.997999333,Retail,Payment,4,23.7,2.73,338.27,182.15,0,0,2,1,Completed
2025-01-03 21:54:40.693564521,Retail,Delivery,4,43.1,3.95,358.9,277.01,0,0,2,2,Completed
2025-01-04 00:49:27.389129709,Clinic,Follow-up,6,31.9,1.18,294.01,71.56,0,2,4,2,Completed
2025-01-04 03:44:14.084694898,Clinic,Customer enquiry,7,20.0,0.63,341.74,98.73,0,0,5,1,Completed
2025-01-04 06:39:00.780260086,Restaurant,Customer enquiry,7,27.7,0.67,723.55,44.53,0,2,3,1,Completed
2025-01-04 09:33:47.475825275,Service Business,Payment,5,21.5,2.69,347.53,111.71,0,1,3,1,Completed
2025-01-04 12:28:34.171390463,Service Business,Order processing,6,27.1,6.32,378.79,400.53,0,0,4,1,Completed
2025-01-04 15:23:20.866955651,Clinic,Supplier coordination,4,39.7,2.93,344.58,151.07,0,0,2,2,Completed
2025-01-04 18:18:07.562520840,Service Business,Booking,5,10.5,0.77,497.73,49.11,0,0,4,0,Completed
2025-01-04 21:12:54.258086028,Service Business,Order processing,6,29.1,0.97,570.78,136.68,1,1,2,1,Delayed
2025-01-05 00:07:40.953651217,Retail,Customer enquiry,7,19.2,2.28,617.12,132.89,0,0,4,0,Completed
2025-01-05 03:02:27.649216405,Clinic,Customer enquiry,4,23.7,0.74,413.87,26.74,0,0,4,1,Completed
2025-01-05 05:57:14.344781593,Logistics,Appointment,6,28.1,1.66,535.27,116.65,0,3,3,1,Completed
2025-01-05 08:52:01.040346782,Clinic,Delivery,9,32.4,1.18,592.28,113.54,0,3,7,3,Completed
2025-01-05 11:46:47.735911970,Logistics,Follow-up,4,26.3,1.8,335.07,116.01,0,0,3,0,Completed
2025-01-05 14:41:34.431477159,Retail,Booking,12,13.9,1.25,1142.8,61.34,1,2,9,1,Delayed
2025-01-05 17:36:21.127042347,Restaurant,Payment,7,8.9,1.84,421.37,178.12,0,0,6,2,Completed
2025-01-05 20:31:07.822607535,Service Business,Follow-up,6,31.3,2.24,393.08,134.11,0,1,4,2,Completed
2025-01-05 23:25:54.518172724,Retail,Appointment,8,26.0,1.95,658.7,150.69,0,0,4,0,Completed
2025-01-06 02:20:41.213737912,Service Business,Customer enquiry,4,19.8,1.06,372.48,48.87,0,0,4,2,Completed
2025-01-06 05:15:27.909303101,Restaurant,Payment,9,8.7,1.22,697.4,123.72,0,0,4,3,Completed
2025-01-06 08:10:14.604868289,Restaurant,Customer enquiry,7,22.0,2.76,585.72,144.37,0,0,6,2,Completed
2025-01-06 11:05:01.300433477,Retail,Booking,6,13.7,0.08,139.72,57.12,0,0,4,1,Completed
2025-01-06 13:59:47.995998666,Restaurant,Delivery,8,36.3,2.14,905.48,122.77,0,2,2,1,Completed
2025-01-06 16:54:34.691563854,Logistics,Follow-up,8,35.8,1.07,760.51,69.26,0,1,7,3,Completed
2025-01-06 19:49:21.387129043,Restaurant,Follow-up,8,41.3,3.49,752.09,231.17,0,1,6,1,Completed
2025-01-06 22:44:08.082694231,Service Business,Order processing,5,28.5,2.53,460.65,161.94,0,0,4,2,Completed
2025-01-07 01:38:54.778259419,Service Business,Payment,10,11.7,0.42,940.76,40.62,0,0,6,1,Completed
2025-01-07 04:33:41.473824608,Service Business,Supplier coordination,6,40.6,0.91,651.62,81.73,0,3,2,1,Completed
2025-01-07 07:28:28.169389796,Service Business,Appointment,7,26.8,2.39,718.32,109.68,1,0,4,0,Delayed
2025-01-07 10:23:14.864954985,Logistics,Supplier coordination,6,36.3,2.68,524.51,153.5,0,0,3,1,Completed
2025-01-07 13:18:01.560520173,Clinic,Order processing,5,50.3,0.39,478.62,29.11,1,1,4,0,Delayed
2025-01-07 16:12:48.256085361,Retail,Booking,8,16.0,0.07,672.88,24.83,0,0,6,3,Completed
2025-01-07 19:07:34.951650550,Service Business,Appointment,10,21.6,0.92,612.61,118.25,0,1,7,1,Completed
2025-01-07 22:02:21.647215738,Restaurant,Delivery,7,38.5,1.05,467.74,94.8,0,2,4,2,Completed
2025-01-08 00:57:08.342780927,Service Business,Supplier coordination,3,38.1,0.62,206.26,60.24,0,1,2,1,Completed
2025-01-08 03:51:55.038346115,Restaurant,Delivery,6,46.2,1.41,445.55,159.24,0,1,3,2,Completed
2025-01-08 06:46:41.733911303,Restaurant,Supplier coordination,9,44.1,1.42,654.98,72.69,0,2,7,3,Completed
2025-01-08 09:41:28.429476492,Service Business,Delivery,10,33.0,2.19,525.93,121.37,0,1,7,1,Completed
2025-01-08 12:36:15.125041680,Logistics,Supplier coordination,5,44.5,0.82,413.17,49.41,0,1,5,1,Completed
2025-01-08 15:31:01.820606869,Restaurant,Delivery,11,44.2,0.2,1036.57,26.22,0,1,6,3,Completed
2025-01-08 18:25:48.516172057,Restaurant,Order processing,10,28.7,1.24,677.58,125.02,0,2,5,1,Completed
2025-01-08 21:20:35.211737245,Service Business,Complaint handling,9,37.3,0.34,637.75,80.11,0,1,5,2,Completed
2025-01-09 00:15:21.907302434,Restaurant,Appointment,10,31.0,2.2,945.96,156.57,0,2,3,3,Completed
2025-01-09 03:10:08.602867622,Restaurant,Payment,7,11.9,2.76,575.17,173.62,0,0,3,0,Completed
2025-01-09 06:04:55.298432811,Service Business,Booking,9,15.5,1.28,876.52,78.8,0,0,7,0,Completed
2025-01-09 08:59:41.993997999,Service Business,Stock handling,4,22.6,0.75,376.69,84.51,0,0,4,0,Completed
2025-01-09 11:54:28.689563187,Retail,Customer enquiry,6,40.3,0.72,363.58,64.36,0,1,6,0,Completed
2025-01-09 14:49:15.385128376,Logistics,Payment,11,9.3,2.47,912.79,140.38,0,0,7,3,Completed
2025-01-09 17:44:02.080693564,Logistics,Customer enquiry,6,22.7,2.03,547.22,126.3,0,0,3,2,Completed
2025-01-09 20:38:48.776258753,Restaurant,Appointment,10,19.5,2.41,626.79,113.89,0,1,8,1,Completed
2025-01-09 23:33:35.471823941,Logistics,Payment,5,13.6,1.59,261.64,112.04,0,0,3,1,Completed
2025-01-10 02:28:22.167389129,Restaurant,Delivery,6,32.4,0.93,465.58,55.12,0,1,3,2,Completed
2025-01-10 05:23:08.862954318,Retail,Delivery,7,43.1,0.57,222.83,51.01,0,1,5,2,Completed
2025-01-10 08:17:55.558519506,Service Business,Stock handling,12,46.5,3.15,59.46,172.97,1,7,5,6,Delayed
2025-01-10 11:12:42.254084694,Service Business,Customer enquiry,8,22.8,1.14,729.74,99.68,0,2,3,3,Completed
2025-01-10 14:07:28.949649883,Service Business,Booking,9,9.2,4.15,551.55,201.12,0,0,9,1,Completed
2025-01-10 17:02:15.645215071,Logistics,Appointment,7,24.1,2.09,499.52,82.91,0,0,4,3,Completed
2025-01-10 19:57:02.340780260,Retail,Delivery,5,33.8,6.31,416.53,388.05,0,0,3,0,Completed
2025-01-10 22:51:49.036345448,Logistics,Complaint handling,5,30.2,0.93,385.54,55.59,0,0,2,2,Completed
2025-01-11 01:46:35.731910636,Logistics,Order processing,8,28.6,4.55,489.01,251.24,0,2,6,3,Completed
2025-01-11 04:41:22.427475825,Retail,Order processing,9,27.2,4.64,1090.03,204.13,0,0,5,3,Completed
2025-01-11 07:36:09.123041013,Retail,Supplier coordination,6,46.6,1.68,457.64,97.35,1,3,5,0,Delayed
2025-01-11 10:30:55.818606202,Retail,Booking,9,18.2,0.75,1247.83,87.04,0,0,6,2,Completed
2025-01-11 13:25:42.514171390,Retail,Order processing,6,24.8,0.93,343.95,65.63,0,0,5,1,Completed
2025-01-11 16:20:29.209736578,Service Business,Supplier coordination,5,46.2,0.58,348.56,87.04,1,1,4,2,Delayed
2025-01-11 19:15:15.905301767,Clinic,Customer enquiry,7,13.4,1.06,549.79,91.35,1,1,5,0,Delayed
2025-01-11 22:10:02.600866955,Clinic,Delivery,7,45.5,1.05,557.47,116.16,0,3,3,1,Completed
2025-01-12 01:04:49.296432144,Retail,Delivery,3,33.8,2.74,299.34,194.42,1,0,2,1,Delayed
2025-01-12 03:59:35.991997332,Clinic,Complaint handling,7,36.9,1.07,187.29,46.45,0,0,2,2,Completed
2025-01-12 06:54:22.687562520,Clinic,Payment,9,23.6,1.35,1004.37,128.48,0,2,7,2,Completed
2025-01-12 09:49:09.383127709,Retail,Order processing,6,20.5,2.68,220.53,136.19,0,0,4,0,Completed
2025-01-12 12:43:56.078692897,Clinic,Customer enquiry,6,23.9,1.72,365.4,77.62,0,0,6,1,Completed
2025-01-12 15:38:42.774258086,Logistics,Follow-up,8,32.9,4.63,633.12,230.07,0,2,5,4,Completed
2025-01-12 18:33:29.469823274,Restaurant,Order processing,11,25.5,0.51,957.27,98.59,0,2,8,1,Completed
2025-01-12 21:28:16.165388462,Restaurant,Booking,3,10.0,2.52,220.84,153.38,0,0,3,0,Completed
2025-01-13 00:23:02.860953651,Retail,Payment,6,16.0,1.94,404.83,121.55,0,0,4,0,Completed
2025-01-13 03:17:49.556518839,Service Business,Order processing,5,25.7,0.21,390.8,33.38,0,0,4,0,Completed
2025-01-13 06:12:36.252084028,Retail,Customer enquiry,4,24.5,0.44,277.0,74.05,0,0,3,0,Completed
2025-01-13 09:07:22.947649216,Service Business,Order processing,10,20.5,2.2,1018.39,169.4,0,0,5,1,Completed
2025-01-13 12:02:09.643214404,Restaurant,Booking,9,25.0,2.98,838.95,160.22,0,0,7,2,Completed
2025-01-13 14:56:56.338779593,Retail,Follow-up,7,29.4,0.23,614.8,18.91,0,2,1,2,Completed
2025-01-13 17:51:43.034344781,Logistics,Appointment,8,21.3,3.63,804.01,229.63,0,0,6,2,Completed
2025-01-13 20:46:29.729909970,Clinic,Stock handling,10,36.5,0.91,856.59,86.23,0,3,4,1,Completed
2025-01-13 23:41:16.425475158,Service Business,Follow-up,6,35.6,3.99,436.51,160.87,0,0,4,2,Completed
2025-01-14 02:36:03.121040346,Clinic,Supplier coordination,11,48.4,2.7,468.7,171.5,0,6,7,3,Completed
2025-01-14 05:30:49.816605535,Clinic,Order processing,8,21.2,2.1,951.95,109.73,0,1,5,2,Completed
2025-01-14 08:25:36.512170723,Retail,Delivery,7,42.2,1.53,718.94,60.58,0,1,4,2,Completed
2025-01-14 11:20:23.207735912,Clinic,Complaint handling,8,29.4,1.84,411.16,107.58,0,0,6,4,Completed
2025-01-14 14:15:09.903301100,Logistics,Delivery,3,35.8,1.87,282.33,118.09,0,0,2,1,Completed
2025-01-14 17:09:56.598866288,Clinic,Follow-up,5,26.1,2.39,440.7,169.58,0,0,5,1,Completed
2025-01-14 20:04:43.294431477,Retail,Delivery,5,43.4,1.56,286.24,104.67,1,0,3,2,Delayed
2025-01-14 22:59:29.989996665,Logistics,Customer enquiry,6,26.7,2.73,650.86,108.39,0,0,5,0,Completed
2025-01-15 01:54:16.685561854,Restaurant,Delivery,3,38.8,2.02,244.91,103.08,0,0,0,1,Completed
2025-01-15 04:49:03.381127042,Clinic,Payment,4,12.5,1.17,210.98,97.66,0,0,2,2,Completed
2025-01-15 07:43:50.076692230,Retail,Appointment,3,27.2,1.99,153.63,102.97,0,0,3,1,Completed
2025-01-15 10:38:36.772257419,Restaurant,Order processing,7,25.5,1.25,610.06,114.67,0,0,6,4,Completed
2025-01-15 13:33:23.467822607,Restaurant,Delivery,10,39.4,2.91,569.93,139.9,1,2,6,2,Delayed
2025-01-15 16:28:10.163387796,Service Business,Booking,10,13.0,3.21,618.3,176.28,0,0,8,2,Completed
2025-01-15 19:22:56.858952984,Logistics,Appointment,3,22.6,5.13,262.03,210.06,0,0,3,1,Completed
2025-01-15 22:17:43.554518172,Clinic,Appointment,5,17.7,1.64,317.33,106.56,0,0,4,0,Completed
2025-01-16 01:12:30.250083361,Retail,Delivery,9,36.3,0.61,608.97,56.04,0,2,7,2,Completed
2025-01-16 04:07:16.945648549,Service Business,Appointment,8,32.8,2.62,484.98,134.22,0,1,5,4,Completed
2025-01-16 07:02:03.641213738,Logistics,Complaint handling,7,34.0,1.42,649.57,85.07,1,1,5,3,Delayed
2025-01-16 09:56:50.336778926,Service Business,Delivery,7,43.1,1.34,736.73,60.6,1,0,3,4,Delayed
2025-01-16 12:51:37.032344114,Logistics,Customer enquiry,10,16.3,0.93,404.59,93.37,0,0,9,2,Completed
2025-01-16 15:46:23.727909303,Logistics,Follow-up,8,39.3,0.95,450.79,96.81,0,2,5,3,Completed
2025-01-16 18:41:10.423474491,Clinic,Payment,12,12.8,2.41,342.91,121.45,0,1,8,0,Completed
2025-01-16 21:35:57.119039680,Logistics,Stock handling,5,37.6,1.12,403.92,107.61,0,0,4,2,Completed
2025-01-17 00:30:43.814604868,Service Business,Supplier coordination,7,38.4,1.23,577.55,116.47,1,4,6,2,Delayed
2025-01-17 03:25:30.510170056,Logistics,Appointment,5,19.7,1.83,285.53,89.7,0,0,5,1,Completed
2025-01-17 06:20:17.205735245,Clinic,Customer enquiry,1,17.4,2.12,68.39,118.85,0,0,1,1,Completed
2025-01-17 09:15:03.901300433,Clinic,Order processing,5,22.9,0.43,440.38,18.17,0,0,4,3,Completed
2025-01-17 12:09:50.596865622,Service Business,Order processing,8,30.5,1.02,897.18,47.58,0,1,4,2,Completed
2025-01-17 15:04:37.292430810,Restaurant,Supplier coordination,7,47.4,0.9,432.09,107.79,0,0,5,1,Completed
2025-01-17 17:59:23.987995998,Restaurant,Payment,9,15.2,0.91,723.67,78.83,0,0,9,1,Completed
2025-01-17 20:54:10.683561187,Logistics,Appointment,11,26.0,1.52,990.11,118.71,0,3,8,1,Completed
2025-01-17 23:48:57.379126375,Retail,Complaint handling,9,61.3,1.43,1057.85,112.03,0,1,6,4,Completed
2025-01-18 02:43:44.074691564,Logistics,Supplier coordination,7,44.3,1.78,607.91,130.24,0,3,4,4,Completed
2025-01-18 05:38:30.770256752,Service Business,Payment,5,19.2,1.57,600.0,71.83,0,0,5,2,Completed
2025-01-18 08:33:17.465821940,Service Business,Appointment,5,18.5,1.34,231.45,129.72,0,0,5,1,Completed
2025-01-18 11:28:04.161387129,Service Business,Customer enquiry,6,16.3,0.32,522.37,18.76,0,0,5,2,Completed
2025-01-18 14:22:50.856952317,Service Business,Follow-up,6,24.1,0.85,432.46,44.24,0,0,3,2,Completed
2025-01-18 17:17:37.552517506,Service Business,Complaint handling,5,35.6,4.78,387.3,163.94,0,0,4,1,Completed
2025-01-18 20:12:24.248082694,Clinic,Stock handling,10,27.1,3.48,512.68,142.53,0,1,8,2,Completed
2025-01-18 23:07:10.943647882,Restaurant,Order processing,8,19.5,5.27,839.18,180.49,0,0,6,1,Completed
2025-01-19 02:01:57.639213071,Service Business,Booking,8,17.0,1.38,726.43,81.55,0,0,4,0,Completed
2025-01-19 04:56:44.334778259,Retail,Customer enquiry,7,21.0,0.82,578.85,80.26,0,1,5,1,Completed
2025-01-19 07:51:31.030343447,Retail,Order processing,6,31.8,3.35,241.82,150.55,0,0,6,2,Completed
2025-01-19 10:46:17.725908636,Retail,Delivery,4,37.1,2.28,392.38,102.71,0,2,3,1,Completed
2025-01-19 13:41:04.421473824,Retail,Booking,11,20.5,1.11,697.13,48.03,0,1,5,4,Completed
2025-01-19 16:35:51.117039013,Clinic,Order processing,5,28.5,2.71,303.76,182.33,0,0,2,1,Completed
2025-01-19 19:30:37.812604201,Retail,Payment,9,17.4,1.34,403.5,72.33,0,1,5,0,Completed
2025-01-19 22:25:24.508169389,Service Business,Complaint handling,4,31.1,1.07,282.68,138.2,0,1,3,0,Completed
2025-01-20 01:20:11.203734578,Logistics,Order processing,6,24.2,1.31,395.0,77.9,0,1,4,0,Completed
2025-01-20 04:14:57.899299766,Retail,Stock handling,8,35.1,0.67,860.13,63.65,0,1,6,3,Completed
2025-01-20 07:09:44.594864955,Clinic,Follow-up,5,34.6,1.28,279.59,78.51,0,1,3,3,Completed
2025-01-20 10:04:31.290430143,Clinic,Payment,8,8.6,3.14,497.48,221.0,0,0,5,0,Completed
2025-01-20 12:59:17.985995331,Retail,Customer enquiry,6,22.7,2.24,390.07,130.32,0,0,4,2,Completed
2025-01-20 15:54:04.681560520,Logistics,Customer enquiry,8,13.3,1.86,479.87,150.01,0,0,7,1,Completed
2025-01-20 18:48:51.377125708,Retail,Customer enquiry,7,17.1,1.05,341.52,35.33,0,0,3,1,Completed
2025-01-20 21:43:38.072690897,Clinic,Customer enquiry,4,20.9,3.87,369.13,169.33,0,0,3,3,Completed
2025-01-21 00:38:24.768256085,Restaurant,Follow-up,5,31.2,2.69,370.97,163.92,0,0,2,1,Completed
2025-01-21 03:33:11.463821273,Service Business,Order processing,8,19.5,0.97,529.08,58.6,0,1,6,2,Completed
2025-01-21 06:27:58.159386462,Clinic,Appointment,8,18.0,0.36,509.34,40.38,0,0,8,2,Completed
2025-01-21 09:22:44.854951650,Retail,Order processing,6,37.9,1.61,484.59,112.42,0,1,3,2,Completed
2025-01-21 12:17:31.550516839,Service Business,Delivery,7,34.1,2.26,446.8,141.31,0,0,3,3,Completed
2025-01-21 15:12:18.246082027,Retail,Complaint handling,9,31.9,0.93,688.5,153.63,1,5,3,3,Delayed
2025-01-21 18:07:04.941647215,Retail,Booking,7,9.1,2.04,619.54,81.48,0,0,5,1,Completed
2025-01-21 21:01:51.637212404,Restaurant,Appointment,7,37.5,1.17,599.03,126.08,0,2,3,2,Completed
2025-01-21 23:56:38.332777592,Service Business,Appointment,10,17.5,0.76,1096.31,89.17,0,0,8,0,Completed
2025-01-22 02:51:25.028342781,Service Business,Order processing,4,21.1,1.77,398.1,105.22,0,0,3,0,Completed
2025-01-22 05:46:11.723907969,Restaurant,Appointment,7,16.3,0.86,596.9,57.78,0,0,5,2,Completed
2025-01-22 08:40:58.419473157,Clinic,Supplier coordination,8,41.0,2.32,691.18,106.84,0,1,5,1,Completed
2025-01-22 11:35:45.115038346,Retail,Supplier coordination,5,39.9,2.68,605.66,134.12,0,0,3,2,Completed
2025-01-22 14:30:31.810603534,Logistics,Delivery,6,49.3,3.05,362.64,205.86,0,1,4,0,Completed
2025-01-22 17:25:18.506168723,Retail,Booking,3,25.1,0.88,266.82,63.88,0,0,1,0,Completed
2025-01-22 20:20:05.201733911,Retail,Stock handling,7,44.0,0.6,413.17,58.16,1,2,5,3,Delayed
2025-01-22 23:14:51.897299099,Clinic,Follow-up,5,32.1,1.83,481.7,92.28,0,1,5,2,Completed
2025-01-23 02:09:38.592864288,Retail,Order processing,16,20.4,3.16,1472.75,189.45,0,1,12,3,Completed
2025-01-23 05:04:25.288429476,Restaurant,Follow-up,5,28.5,2.46,363.0,142.23,0,0,3,1,Completed
2025-01-23 07:59:11.983994665,Restaurant,Stock handling,7,23.1,0.91,745.85,37.92,0,0,6,1,Completed
2025-01-23 10:53:58.679559853,Service Business,Order processing,4,19.7,0.98,317.3,61.34,0,0,3,1,Completed
2025-01-23 13:48:45.375125041,Logistics,Order processing,7,38.9,1.18,597.69,59.21,0,3,3,1,Completed
2025-01-23 16:43:32.070690230,Retail,Booking,7,20.7,3.05,297.16,185.41,0,2,6,0,Completed
2025-01-23 19:38:18.766255418,Retail,Follow-up,6,32.5,1.94,765.36,143.49,0,2,4,0,Completed
2025-01-23 22:33:05.461820607,Clinic,Supplier coordination,12,36.3,1.85,663.42,72.72,1,2,7,3,Delayed
2025-01-24 01:27:52.157385795,Restaurant,Customer enquiry,7,20.3,0.1,354.51,18.32,0,0,7,0,Completed
2025-01-24 04:22:38.852950983,Logistics,Follow-up,12,27.0,1.57,1100.02,75.68,0,0,10,2,Completed
2025-01-24 07:17:25.548516172,Service Business,Complaint handling,11,35.5,3.24,899.47,196.2,0,2,4,2,Completed
2025-01-24 10:12:12.244081360,Restaurant,Complaint handling,6,28.8,3.04,265.66,209.72,0,1,2,1,Completed
2025-01-24 13:06:58.939646549,Service Business,Order processing,12,28.0,2.08,709.65,150.25,0,1,6,3,Completed
2025-01-24 16:01:45.635211737,Clinic,Customer enquiry,7,12.6,0.93,483.74,94.83,0,0,5,1,Completed
2025-01-24 18:56:32.330776925,Clinic,Payment,5,12.9,0.8,308.24,81.53,0,0,3,3,Completed
2025-01-24 21:51:19.026342114,Retail,Stock handling,9,28.5,1.42,740.87,93.89,0,0,4,4,Completed
2025-01-25 00:46:05.721907302,Logistics,Delivery,12,43.6,3.23,1181.77,228.41,0,3,6,7,Completed
2025-01-25 03:40:52.417472491,Service Business,Customer enquiry,7,21.0,0.47,884.53,38.79,0,0,3,1,Completed
2025-01-25 06:35:39.113037679,Restaurant,Delivery,6,42.4,1.5,265.96,108.39,0,1,5,0,Completed
2025-01-25 09:30:25.808602867,Clinic,Follow-up,2,30.8,2.45,153.09,122.45,0,0,1,1,Completed
2025-01-25 12:25:12.504168056,Retail,Follow-up,7,25.2,2.76,559.03,145.38,0,0,5,1,Completed
2025-01-25 15:19:59.199733244,Retail,Delivery,10,33.3,3.1,795.66,184.25,0,1,3,3,Completed
2025-01-25 18:14:45.895298433,Service Business,Stock handling,5,34.9,1.57,411.93,112.54,0,1,2,2,Completed
2025-01-25 21:09:32.590863621,Clinic,Customer enquiry,3,30.5,0.21,239.48,53.25,0,0,3,1,Completed
2025-01-26 00:04:19.286428809,Logistics,Payment,14,12.7,2.22,1449.72,120.62,0,0,12,3,Completed
2025-01-26 02:59:05.981993998,Clinic,Order processing,5,21.8,1.2,432.6,68.66,0,1,4,0,Completed
2025-01-26 05:53:52.677559186,Service Business,Booking,7,9.8,0.85,313.09,77.54,0,1,5,0,Completed
2025-01-26 08:48:39.373124374,Service Business,Follow-up,10,26.4,0.31,490.15,26.97,0,1,5,2,Completed
2025-01-26 11:43:26.068689563,Clinic,Complaint handling,7,31.4,1.26,685.77,61.16,0,1,6,2,Completed
2025-01-26 14:38:12.764254751,Service Business,Stock handling,13,22.0,0.9,1155.0,65.1,0,1,5,4,Completed
2025-01-26 17:32:59.459819940,Clinic,Booking,10,24.7,0.99,719.27,139.68,0,1,6,3,Completed
2025-01-26 20:27:46.155385128,Restaurant,Payment,9,17.6,1.6,795.5,116.22,0,2,4,4,Completed
2025-01-26 23:22:32.850950316,Clinic,Appointment,9,25.8,1.09,823.15,66.19,0,1,4,4,Completed
2025-01-27 02:17:19.546515505,Clinic,Order processing,3,24.0,0.76,300.72,94.38,0,0,1,1,Completed
2025-01-27 05:12:06.242080693,Service Business,Follow-up,7,24.8,1.96,510.39,96.25,0,0,4,1,Completed
2025-01-27 08:06:52.937645882,Service Business,Order processing,9,25.5,1.73,859.77,103.92,0,1,4,3,Completed
2025-01-27 11:01:39.633211070,Retail,Booking,5,16.0,0.83,375.95,45.22,0,0,3,0,Completed
2025-01-27 13:56:26.328776259,Retail,Order processing,6,19.2,0.55,273.47,91.6,0,0,4,1,Completed
2025-01-27 16:51:13.024341447,Restaurant,Appointment,4,25.8,2.26,346.14,126.39,0,0,3,1,Completed
2025-01-27 19:45:59.719906635,Retail,Booking,7,15.6,0.59,740.99,66.3,0,0,3,3,Completed
2025-01-27 22:40:46.415471824,Clinic,Follow-up,8,29.0,3.2,761.19,185.87,0,2,7,3,Completed
2025-01-28 01:35:33.111037012,Service Business,Customer enquiry,7,15.9,0.47,730.7,48.41,0,1,3,0,Completed
2025-01-28 04:30:19.806602201,Retail,Complaint handling,7,33.2,2.36,573.14,138.78,0,3,4,1,Completed
2025-01-28 07:25:06.502167389,Retail,Booking,10,19.9,0.82,594.14,68.67,0,1,8,1,Completed
2025-01-28 10:19:53.197732577,Restaurant,Supplier coordination,7,54.2,1.39,575.75,132.06,1,2,4,3,Delayed
2025-01-28 13:14:39.893297766,Restaurant,Appointment,7,34.8,2.71,488.33,108.95,1,0,5,1,Delayed
2025-01-28 16:09:26.588862954,Clinic,Booking,6,13.9,4.71,511.27,225.73,0,0,6,0,Completed
2025-01-28 19:04:13.284428143,Service Business,Booking,13,15.3,2.03,1030.8,107.3,0,0,8,3,Completed
2025-01-28 21:58:59.979993331,Restaurant,Supplier coordination,3,49.0,3.19,301.92,232.28,1,0,1,1,Delayed
2025-01-29 00:53:46.675558519,Retail,Follow-up,12,25.3,2.4,570.81,77.99,0,1,4,5,Completed
2025-01-29 03:48:33.371123708,Service Business,Booking,4,11.0,0.73,106.32,117.83,0,0,3,0,Completed
2025-01-29 06:43:20.066688896,Service Business,Complaint handling,10,35.6,2.05,797.28,80.85,1,3,6,2,Delayed
2025-01-29 09:38:06.762254085,Retail,Order processing,5,27.2,0.45,350.87,21.17,0,1,3,2,Completed
2025-01-29 12:32:53.457819273,Restaurant,Follow-up,5,28.8,2.66,332.89,82.64,0,0,5,2,Completed
2025-01-29 15:27:40.153384461,Retail,Complaint handling,11,32.7,1.22,686.99,97.91,0,4,8,5,Completed
2025-01-29 18:22:26.848949650,Service Business,Follow-up,7,31.1,1.28,540.45,71.75,0,1,4,2,Completed
2025-01-29 21:17:13.544514838,Logistics,Complaint handling,5,33.1,1.81,435.37,184.38,0,0,4,3,Completed
